Year,Silk,Wool & animal hair,Cotton,"Vegetable textile fibers, paper yarn & fabrics",Man-made filaments,Man-made staple fibres,"Wadding, felt, nonwovens, twin, ropes, & articles thereof",Carpets & textile floor covers,Special woven fabrics and tapestries,"Coated, covered, & laminated fabrics for industrial use",Knitted fabrics,Knitted clothing accesories,Non-knitted clothing accesories,Used clothes & textile articles
1995,573789.0,54033.0,13612916.0,286318608.0,510064.0,7848987.0,46540538.0,8398072.0,43826004.0,211227.0,5661059.0,864910575.0,2013172507.0,202112317.0
1996,149647.0,85886.0,11404967.0,278338349.0,538159.0,29233220.000000004,44581123.0,10193134.0,39854576.0,192280.0,3685458.0,1117382520.0,2010255184.0,232849982.0
1997,25984.0,151778.0,20121958.0,302408664.0,865837.0,37406302.0,40442351.0,6505268.0,53812086.0,527095.0,683446.0,1392739076.0,2557708610.0,236941099.0
1998,116055.0,70796.0,31294874.0,257005290.0,793049.0,34506336.0,30908996.0,4573306.0,21209437.0,964309.0,7839538.0,1556176715.0,2899282894.0,219520058.0
1999,64719.0,480417.0,6633348.0,197444557.0,1731657.0,2670310.0,8511873.0,2180854.0,1248876.0,487458.00000000006,1089588.0,1463512364.0,2370992724.0,164008224.0
2000,12005715.0,1416090.0,27454964.0,280061050.0,8065093.0,8849055.0,32974271.0,3396280.0,21058812.0,228002.0,6465875.0,2038519383.0,3306735923.0,273106421.0
2001,16241476.0,805971.0,33137497.0,293374992.0,14139596.0,7746202.0,30189003.0,1632887.0,23596004.0,502778.0,20549867.0,2307334710.0,3484206247.0,336186089.0
2002,374619.0,257863.0,21421117.0,286355645.0,3016016.0,5001357.0,20398461.0,1645204.0,20438917.0,650394.0,1090249.0,2359346008.0,3022623138.0,398649696.0
2003,246809.0,443033.0,21608099.0,274624147.0,2981262.0,5079117.0,21259790.0,2377535.0,36024891.0,222824.0,1218317.0,3207733737.0,3635129959.0,370248383.0
2004,296711.0,522973.0,34561682.0,330508130.0,6329323.0,12733315.0,25004186.0,3493026.0,49782667.0,719256.0,1049748.0,4255053562.0,4247170943.0,428872726.0
2005,327083.0,897810.0,37581853.0,360239323.0,4510179.0,18846066.0,49321243.0,5234443.0,61875522.0,571011.0,1559106.0,4332463668.0,4161838779.0,423308101.0
2006,265222.0,252236.0,719840737.0,449623072.0,6729792.0,4482656.0,49540876.0,5279965.0,48500206.0,684237.0,4041668.0,5748789718.0,5322768395.0,502389759.0
2007,275032.0,1202117.0,194024494.0,476435385.0,7621763.0,19499522.0,54165842.0,10276641.0,41422017.0,1392891.0,6119385.0,6475966646.0,5595960244.0,606165604.0
2008,167872.0,660357.0,33687417.0,511449254.0,3152871.0,6168398.0,44509384.0,9555699.0,44066297.0,244243.0,7569955.0,7964553843.0,6340897790.0,741654629.0
2009,46119.0,1041652.9999999999,28152153.0,556186196.0,5069865.0,10103376.0,35519218.0,11400124.0,108754281.0,456248.0,5486196.0,8337941575.0,6790536338.0,805244754.0
2010,44209.0,270845.0,44139504.0,794719922.0,8416334.0,6296649.0,39279996.0,15472866.0,147384143.0,1266426.0,5456899.0,9811973252.0,7701241995.0,897371275.0
2011,46062.0,672685.0,63722950.0,869794271.0,7148749.0,12225229.0,39291322.0,14269951.0,36850583.0,1162651.0,7326739.0,12622457460.0,10395254507.0,1149569765.0
2012,31297.0,1360564.0,48722445.0,733426417.0,7538165.0,33755594.0,29376234.0,16773224.0,77336762.0,569151.0,5468113.0,11795977681.0,11367028368.0,1064862398.0
2013,470118.0,562008.0,50909682.0,712610836.0,7882667.0,17710298.0,27331147.0,20453432.0,64929556.99999999,919658.0,6805201.0,13093680398.0,13101773583.0,1149429337.0
2014,12818.0,239516.0,32228252.0,623603087.0,10157062.0,12383126.0,27461560.0,22883664.0,3225078.0,423729.0,10987633.0,14439199590.0,13789256581.0,1052731603.0
2015,63734.0,646950.0,36708724.0,733908996.0,12582384.0,12025885.0,32270785.0,40553164.0,42825402.0,965512.0,12109681.0,15278236543.0,15387223318.0,1062934253.0
2016,64910.0,27330.0,24081664.0,762441771.0,9243342.0,16120207.0,36226202.0,35941650.0,3841432.0,1686650.0,8696279.0,16279801147.0,16105110395.0,1008726032.0
2017,51647.0,491194.0,34861495.0,807483974.0,6437109.0,22617750.0,29583741.0,34608845.0,5159617.0,1594452.0,11189008.0,17811033429.0,16743995263.0,1123679345.0
2018,198240.99999999997,172926.99999999997,43061304.0,691449698.0,5683338.0,24078755.0,32322675.0,34106892.0,2614614.0,820069.0,12770152.0,20176532638.0,18762972586.0,1137158743.0
2019,15114.0,302614.0,83659304.0,678955261.0,3422823.0,20227451.0,46785935.0,33509838.0,3639286.0,1051687.0,26671776.0,20919921166.0,19675912581.0,1038365958.0
2020,6419.0,281178.0,68156893.0,728626340.0,3771967.0,12981792.0,52551508.0,38801059.0,4346176.0,6140163.0,28016506.0,18720782730.0,16518159393.0,1150490222.0
2021,16917.0,200958.0,95370126.0,784241106.0,3354019.0,14160468.0,59908769.0,51506014.0,5234649.0,9149606.0,36661131.0,24708668299.0,18969989532.0,1440048345.0
