Year,Total Trade Value
1995,4745174937.0
1996,5034831004.0
1997,5874773744.0
1998,6200921455.0
1999,5143729209.0
2000,7414276296.0
2001,7914706144.0
2002,7326809225.0
2003,8899789963.0
2004,11037342929.0
2005,11343736433.0
2006,14944692810.0
2007,16073769735.0
2008,18213701791.0
2009,18970727875.0
2010,22216089014.0
2011,28419621423.0
2012,28661558164.0
2013,31976033332.0
2014,33556253994.0
2015,36750470683.0
2016,37801698435.0
2017,40318434598.0
2018,44952315526.0
2019,46950531109.0
2020,41285566562.0
2021,51773687233.0
