Continent ID,Continent,Country ID,Country,ISO 3,Trade Value,Year
af,Africa,afciv,Cote d'Ivoire,civ,8143744.0,1995
af,Africa,afcmr,Cameroon,cmr,27228.0,1995
af,Africa,afcod,Democratic Republic of the Congo,cod,142527.00000000003,1995
af,Africa,afegy,Egypt,egy,9507551.0,1995
af,Africa,afeth,Ethiopia,eth,1756659.0,1995
af,Africa,afgha,Ghana,gha,41236.99999999999,1995
af,Africa,afken,Kenya,ken,3140010.0,1995
af,Africa,aflby,Libya,lby,23815.0,1995
af,Africa,afmar,Morocco,mar,2363354.0,1995
af,Africa,afmoz,Mozambique,moz,78003.0,1995
af,Africa,afmus,Mauritius,mus,9665.0,1995
af,Africa,afmwi,Malawi,mwi,58300.0,1995
af,Africa,afnga,Nigeria,nga,85232.00000000001,1995
af,Africa,afsdn,Sudan,sdn,307724.0,1995
af,Africa,aftgo,Togo,tgo,35024.0,1995
af,Africa,aftun,Tunisia,tun,142625.0,1995
af,Africa,aftza,Tanzania,tza,123176.0,1995
af,Africa,afzaf,South Africa,zaf,3254450.0,1995
af,Africa,afzmb,Zambia,zmb,60090.0,1995
af,Africa,afzwe,Zimbabwe,zwe,467424.0,1995
as,Asia,asare,United Arab Emirates,are,8631937.0,1995
as,Asia,aschn,China,chn,9428438.0,1995
as,Asia,ascyp,Cyprus,cyp,26518.0,1995
as,Asia,ashkg,Hong Kong,hkg,138173.0,1995
as,Asia,asidn,Indonesia,idn,2976041.9999999995,1995
as,Asia,asind,India,ind,10606919.0,1995
as,Asia,asirn,Iran,irn,20219112.0,1995
as,Asia,asirq,Iraq,irq,16259.000000000002,1995
as,Asia,asjor,Jordan,jor,550273.0,1995
as,Asia,asjpn,Japan,jpn,8418172.0,1995
as,Asia,askor,South Korea,kor,1523724.0,1995
as,Asia,askwt,Kuwait,kwt,11548.0,1995
as,Asia,aslbn,Lebanon,lbn,223087.0,1995
as,Asia,aslka,Sri Lanka,lka,184084.0,1995
as,Asia,asmng,Mongolia,mng,33241.0,1995
as,Asia,asmys,Malaysia,mys,275700.0,1995
as,Asia,asomn,Oman,omn,21735.0,1995
as,Asia,aspak,Pakistan,pak,16043632.999999998,1995
as,Asia,asprk,North Korea,prk,68505.0,1995
as,Asia,asqat,Qatar,qat,116310.0,1995
as,Asia,assau,Saudi Arabia,sau,644644.0,1995
as,Asia,assgp,Singapore,sgp,14492138.000000002,1995
as,Asia,assyr,Syria,syr,1299982.0,1995
as,Asia,astha,Thailand,tha,998315.0,1995
as,Asia,astur,Turkey,tur,19980270.0,1995
as,Asia,asvnm,Vietnam,vnm,16718.0,1995
as,Asia,asxxb,Chinese Taipei,,2802970.0,1995
eu,Europe,euaut,Austria,aut,632183.0,1995
eu,Europe,eubgr,Bulgaria,bgr,978414.0,1995
eu,Europe,eublx,Belgium-Luxembourg,blx,36017465.0,1995
eu,Europe,euche,Switzerland,che,48216.0,1995
eu,Europe,eucze,Czechia,cze,592939.0,1995
eu,Europe,eudeu,Germany,deu,4630936.0,1995
eu,Europe,eudnk,Denmark,dnk,144393.0,1995
eu,Europe,euesp,Spain,esp,7401230.0,1995
eu,Europe,euest,Estonia,est,2079.0,1995
eu,Europe,eufin,Finland,fin,101569.0,1995
eu,Europe,eufra,France,fra,5695735.0,1995
eu,Europe,eugbr,United Kingdom,gbr,16455536.0,1995
eu,Europe,eugrc,Greece,grc,2740936.0,1995
eu,Europe,euhun,Hungary,hun,461914.0,1995
eu,Europe,euirl,Ireland,irl,69474.0,1995
eu,Europe,euisl,Iceland,isl,10057.0,1995
eu,Europe,euita,Italy,ita,2427906.0,1995
eu,Europe,eumlt,Malta,mlt,2985.0,1995
